address,leaderboard_pnl,leaderboard_volume,leaderboard_username,snapshot_url,name,x_username,verified,copyability_score,score_profitability,score_stability,score_copyability,score_focus,score_execution,realized_pnl_90d,avg_trade_pnl_90d,profit_factor_90d,win_rate_90d,max_drawdown_90d,max_losing_streak_90d,weekly_vol_90d,avg_trades_per_day_30d,avg_hold_hours_90d,near_settlement_ratio_90d,crypto_ratio,btc_ratio,market_concentration_hhi,median_trade_notional,avg_trade_notional,trades_count,closed_positions_count,buy_count_with_open_time,near_open_buy_ratio_10m,near_open_buy_ratio_30m,avg_open_delay_min,median_open_delay_min,cycle5_window_count,cycle5_first_minute_single_count,cycle5_first_minute_single_ratio,high_win_near_open
0xb1bba305ae7fa41132e14f0a3058381207617a6b,7416.364818976163,0.0,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0xb1bba305ae7fa41132e14f0a3058381207617a6b,luochen333,,False,83.02,88.33,100.0,59.38,71.68,99.97,33546.0667,3354.6067,2.0,1.0,0.0,0,0.0,2.1667,0.0,0.0,1.0,1.0,0.0561,192.3607,303.9134,65,10,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.04,False
0x1cdb4cac9d2428094058b60a0284c2c177dceb5c,58306.48327199489,0.0,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0x1cdb4cac9d2428094058b60a0284c2c177dceb5c,nervem13,,False,82.58,100.0,91.16,53.33,72.69,97.24,63277.4744,4519.8196,559.8977,0.9286,113.2184,1,0.0,1.3667,0.0,0.0,1.0,1.0,0.0898,129.0538,180.9945,41,14,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,False
0x10704da0998ac849b2e8d0201c20e4911266e095,5670.568962636496,0.0,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0x10704da0998ac849b2e8d0201c20e4911266e095,luochen2,,False,82.04,88.33,100.0,59.11,71.46,91.15,31915.0951,2901.3723,2.0,1.0,0.0,0,0.0,2.1,0.0,0.0,1.0,1.0,0.0486,70.8152,212.5964,63,11,0.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0345,False
0xff04e9f2060a23fbd3ee37f1581a435ea54933bb,10152.98033853,0.0,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0xff04e9f2060a23fbd3ee37f1581a435ea54933bb,3245336,,False,81.17,88.33,100.0,36.03,100.0,97.85,10152.4972,10152.4972,2.0,1.0,0.0,0,0.0,0.0333,0.0,0.0,1.0,1.0,1.0,137.4878,137.4878,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
0xf8bbb5513e6497bc95f867b329ec7ae559f4603d,5077.5399689999995,0.0,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0xf8bbb5513e6497bc95f867b329ec7ae559f4603d,0xF8bBB551,,False,81.1,88.33,100.0,50.63,85.19,82.94,5077.54,1015.508,2.0,1.0,0.0,0,0.0,1.1333,0.0,0.0,0.9412,0.9412,0.6436,16.5,95.849,34,5,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,False
0xca294e9b4c2e8930286ed85819c7be16560b8745,8029.609623,0.0,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0xca294e9b4c2e8930286ed85819c7be16560b8745,0xCA294e9b4C2E8930286ED85819C7Be16560b8745-1774080408135,,False,80.83,88.33,100.0,36.47,100.0,93.49,8029.6096,8029.6096,2.0,1.0,0.0,0,0.0,0.0667,0.0,0.0,1.0,1.0,1.0,310.0933,310.0933,2,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
0x5fcebe04ac53b7e604bfedcc415f5d811d60409e,16073.241449990102,285619.26516099996,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0x5fcebe04ac53b7e604bfedcc415f5d811d60409e,0x5fCe,,False,80.21,100.0,75.76,59.99,72.2,95.16,26752.8979,1910.9213,59.7679,0.9286,455.2295,1,0.0,2.5333,0.0,0.0,1.0,1.0,0.0734,105.5445,243.428,76,14,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,False
0xb967a384cf2e6818aa91a23257b4bf1bc372e7bf,37101.07127073631,58040.65177,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0xb967a384cf2e6818aa91a23257b4bf1bc372e7bf,0xB967A384cF2e6818AA91a23,,False,79.69,88.33,100.0,43.66,79.26,93.83,38786.3785,19393.1893,2.0,1.0,0.0,0,0.0,0.6,0.0,0.0,1.0,1.0,0.3086,92.9125,108.7997,18,2,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,False
0x8cc4de6b2f43e915a2173b82bf47f0a25bf52173,20525.868324104213,314535.83,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0x8cc4de6b2f43e915a2173b82bf47f0a25bf52173,0x8cc4dE6b2F43E915a2173B82bf47f,,False,79.57,88.2,100.0,59.25,61.51,80.47,2903.8809,58.0776,2.0,1.0,0.0,0,0.0,2.1333,0.0,0.0,0.9351,0.7159,0.0512,2.25,525.7807,447,50,0.0,0.0,0.0,0.0,0.0,161.0,55.0,0.3416,False
0xd642202826a49c98427e73e502319d34001aa650,4960.720895,0.0,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0xd642202826a49c98427e73e502319d34001aa650,332563,,False,79.19,88.33,100.0,36.47,85.0,98.03,4960.3507,2480.1753,2.0,1.0,0.0,0,0.0,0.0667,0.0,0.0,1.0,1.0,0.5,140.1731,140.1731,2,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,False
0xe701b372276d03e52a4020622d6c978d4e91dcc2,15730.49577215785,0.0,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0xe701b372276d03e52a4020622d6c978d4e91dcc2,0xE701B372276D03e52a4020622D6C978D4e91DcC2-1772591136009,,False,78.9,88.33,100.0,40.02,76.6,98.33,22023.6221,7341.2074,2.0,1.0,0.0,0,0.0,0.3333,0.0,0.0,1.0,1.0,0.22,144.9216,144.3826,10,3,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,False
